"","authors"
"1","S. Rivera-Reyes; Morrison, E; Garnas, JR"
"2","Reilly, E; Garnas, JR"
"3","Lemis, P; McIntire, C; Garnas, JR"
"4","Kanaskie, C; Routhier, M; Fraser, B; Ayres, M; Garnas, JR"
"5","Kanaskie, C; Garnas, JR"
"6","Garnas, JR; McIntire, C"
"7","Garnas, JR; McIntire, C"
"8","Garnas, JR"
"9","Rivera-Reyes, S; Kasson, MT; Morrison, EW; Garnas, JR"
"10","Reilly, E"
"11","Morrison, EW; Doung, T; Garnas, JR"
"12","Kanaskie, C; Routhier, M; Ayres, M; Garnas, JR"
"13","Kanaskie, C; Routhier, M; Ayres, M; Garnas, JR"
"14","Johnson, T; Garnas, JR"
"15","Garnas, JR; Morrison, EW; Windstein, K"
"16","Garnas, JR; Morrison, EW; Windstein, K"
"17","Garnas, JR"
"18","Garnas, JR"
"19","Garnas, JR"
"20","Garnas, JR"
"21","Garnas, JR"
"22","Garnas, JR; Bascom, C; Liebhold, A; Fei, S; Fearer, C"
"23","Clifton, E; Gould, JR; Garnas, JR"
"24","Clifton, E; Gould, JR; Garnas, JR"
"25","Aflague, B; Gould, JR; Lewis, P; Garnas, JR"
"26","Aflague, B; Gould, JR; Lewis, P; Garnas, JR"
"27","Petronek, HM; Lovett, B; Stauder, CM; Garnas, JR; Kasson, MT"
"28","Morrison, EW; Kasson, MT; Garnas, JR"
"29","Johnson, T; Coupe, C; Ziadeh, C; Wilbur, D; Gould, JR; Garnas, JR"
"30","Garnas, JR; Windstein, K"
"31","Garnas, JR; Vadeboncoeur, M; Ayres, M; Cleavitt, N; Battles, J"
"32","Garnas, JR"
"33","Windstein, K; Morrison, E; Garnas, JR"
"34","Windstein, K; Morrison, E; Garnas, JR"
"35","Petronek, HM; Lovett, B; Stauder, CM; Garnas, JR; Kasson, MT"
"36","Morrison, EW; Kasson, MT; Garnas, JR"
"37","Johnson, T; Coupe, C; Aflague, B; Gould, JR; Garnas, JR"
"38","Johnson, T; Aflague, B; Gould, JR; Garnas, JR"
"39","Garnas, JR; Kanaskie, C; Stephen, F; Dodds, K"
"40","Garnas, JR; Kanaskie, C; Stephen, F; Dodds, K"
"41","deJonge, R; Goble, T; Smith, T; James, P; Kostic, A; Beyene, M; Aflague, B; Garnas, JR"
"42","Aflague, B; deJonge, R; Garnas, JR"
"43","Ziadeh, C; Ayres, M; Garnas, JR"
"44","Windstein, K; Garnas, JR"
"45","Morrison, E; Garnas, JR"
"46","Kanaskie, C; Stephen, F; Dodds, K; Garnas, JR"
