,x,
1,"Kanaskie, C; Rutledge, C; Bray, A; Ayres, MP; Garnas, JR","Kanaskie, Caroline; Rutledge, Claire; Bray, Alicia; Ayres, Matthew; Garnas, Jeff"
2,"Garnas, JR","Garnas, Jeff R."
3,"Garnas, JR; Coupe, C; Rietzel, M","Garnas, Jeff R.; Coupe, Casey; Rietzel, Mariah"
4,"Garnas, JR","Garnas, Jeff R."
5,"Garnas, JR; Coupe, C","Garnas, Jeff R.; Coupe, Casey"
6,"Kanaskie, C; Ducey, M; Garnas, JR","Kanaskie, Caroline; Ducey, Mark; Garnas, Jeff"
7,"Garnas, JR;Â Bascom, C; Liebhold, A; Morin, R; Fei, S; Fearer, C","Garnas, Jeff R.; Bascom, Carlisle; Liebhold, Andrew; Morin, Randy; Fei, Songlin; Fearer, Carrie"
8,"Garnas, JR","Garnas, Jeff"
9,"Reilly, E","Reilly, Erin"
10,"Garnas, JR",
11,"Garnas, JR; McIntire, C","Garnas, Jeff R.; McIntire, Cameron"
12,"Garnas, JR; McIntire, C","Garnas, Jeff R.; McIntire, Cameron"
13,"Rivera-Reyes, S; Morrison, EW W., Garnas, JR","Rivera-Reyes, Santiago; Morrison, Eric W., Garnas, Jeff"
14,"Lemis, P; McIntire, C; Garnas, JR","Lemis, Patrick; McIntire, Cameron; Garnas, Jeff"
15,"Garnas, JR; Gould, JR;  Lewis, P","Dr. Jeff Garnas1, Dr. Juli Gould2, & Dr. Phil Lewis2  University of New Hampshire1 and the USDA CPHST Otis Laboratory2 "
16,"Clifton, E; Gould, JR; Garnas, JR","Clifton, Elizabeth; Gould, Juli; Garnas, Jeff"
17,"Clifton, E","Clifton, Elizabeth"
18,"Kanaskie, C; Routhier, M; Fraser, B; Ayres, MP; Garnas, JR","Kanaskie, Caroline; Routhier, Michael; Fraser, Benjamin; Ayres, Matthew; Garnas, Jeff"
19,"Kanaskie, C; Garnas, JR","Kanaskie, Caroline; Garnas, Jeff"
20,"Clifton, E; Gould, JR; and Garnas, JR","Clifton, Elizabeth; Gould, Juli; and Garnas, Jeff"
21,"Clifton, E; Gould, JR; and Garnas, JR","Clifton, Elizabeth; Gould, Juli; and Garnas, Jeff"
22,"Garnas, JR","Garnas, Jeff R."
23,"Garnas, JR","Garnas, Jeff R."
24,"Garnas, JR","Garnas, Jeff R."
25,"Kanaskie, C; Routhier, M; Ayres, Matt; Garnas, JR","Kanaskie, Caroline; Routhier, Michael; Ayres, Matt; Garnas, Jeff"
26,"Garnas, JR; Bascom, C; Liebhold, A; Fei, S; Fearer, C ","Garnas, Jeff; Bascom, Carlisle; Liebhold, Andrew; Fei, Songlin; Fearer, Carrie "
27,"Morrison, EW; Duong, T; Garnas JR","Eric W. Morrison a, Tuan A. Duong b, Jeff R. Garnas a
a Department of Natural Resources and the Environment, University of New Hampshire, Durham, NH 03824, USA
b Department of Biochemistry, Genetics and Microbiology, Forestry and Agricultural Biotechnology Institute, University of Pretoria, Pretoria, South Africa
"
28,"Garnas, JR","Garnas, Jeff R."
29,"Garnas, JR; Gould, JR;  Lewis, P","Dr. Jeff Garnas1, Dr. Juli Gould2, & Dr. Phil Lewis2  University of New Hampshire1 and the USDA CPHST Otis Laboratory2"
30,"Reilly, E","Reilly, Erin"
31,"Garnas, JR","Aflague, Breanne; Gould, Juli; Phillip Lewis; Garnas Jeff"
32,"Fearer, C","Fearer, Carrie"
33,"Reilly, E","Rivera-Reyes, Santiago; Morrison, Eric ; Garnas, Jeff"
34,"Aflague, B; Gould, JR; Phillip Lewis; Garnas, JR","Kanaskie, Caroline 
Routhier, Michael 
Ayres, Matt 
Garnas, Jeff R."
35,"Fearer, C","Kanaskie, Caroline; Rutledge, Claire; Bray, Alicia; Ayres, Matt; Garnas, Jeff"
36,"Rivera-Reyes, S; Morrison, EW; Garnas, JR","Kanaskie, Caroline; Hofstetter, Richard; Klepzig, Kier; Stephen, Fred; Garnas, Jeff"
37,"""Kanaskie, C ","Garnas, Jeff R.; Gould, Juli; Lewis, Phil"
38,"Routhier, M ","Kanaskie, Caroline 
Routhier, Michael 
Ayres, Matt 
Garnas, Jeff R."
39,"Ayres, Matt ","Fearer, Carrie"
40,"Garnas, JR""","Aflague, Breanne; Gould, Juli; Phillip Lewis; Garnas Jeff"
41,"Kanaskie, C; Rutledge, C; Bray, A; Ayres, Matt; Garnas, JR","Rivera-Reyes, Santiago; Morrison, Eric ; Garnas, Jeff"
42,"Kanaskie, C; Hofstetter, R; Klepzig, K; Stephen, F; Garnas, JR","Reilly, Erin; Garnas, Jeff R."
43,"Eric W. Morrison, Tuan A. Duong, Berni van der Meer, Phillipe Tanguay, Jeff R. Garnas","Garnas, Jeff R."
44,"Carlisle Bascom Jr., Carrie Fearer, Randal Morin, Andrew Liebhold, Songlin Fei, Jeff Garnas",
45,"Clifton, E; Garnas, JR; Booth, T;  Gould, JR",
46,"Clifton, E; Garnas, JR; Booth, T;  Gould, JR",
47,"Clifton, E; Garnas, JR; Booth, T;  Gould, JR",
48,"Clifton, E; Garnas, JR; Booth, T;  Gould, JR",
49,"Carlisle Bascom Jr, Carrie Fearer, Jeff Garnas",
