"","x"
"1","Clifton, Elizabeth; Garnas, Jeff; Booth, Theresa;  Gould, Juli"
"2","Kanaskie, Caroline; Hofstetter, Richard; Klepzig, Kier; Stephen, Fred; Garnas, Jeff"
"3","Kanaskie, Caroline; Rutledge, Claire; Bray, Alicia; Ayres, Matt; Garnas, Jeff"
"4","Eric W. Morrison, Tuan A. Duong, Berni van der Meer, Phillipe Tanguay, Jeff R. Garnas"
"5","Carlisle Bascom Jr., Carrie Fearer, Randal Morin, Andrew Liebhold, Songlin Fei, Jeff Garnas"
"6","Clifton, Elizabeth; Garnas, Jeff; Booth, Theresa;  Gould, Juli"
"7","Clifton, Elizabeth; Garnas, Jeff; Booth, Theresa;  Gould, Juli"
"8","Clifton, Elizabeth; Garnas, Jeff; Booth, Theresa;  Gould, Juli"
"9","Kanaskie, Caroline; Rutledge, Claire; Bray, Alicia; Ayres, Matthew; Garnas, Jeff"
"10","Garnas, Jeff R."
"11","Garnas, Jeff R."
"12","Garnas, Jeff R.; Coupe, Casey; Rietzel, Mariah"
"13","Kanaskie, Caroline; Ducey, Mark; Garnas, Jeff"
"14","Garnas, Jeff R.; Coupe, Casey"
"15","Carlisle Bascom Jr, Carrie Fearer, Jeff Garnas"
"16","Garnas, Jeff"
"17","Garnas, Jeff; Bascom, Carlisle; Liebhold, Andrew; Fei, Songlin; Fearer, Carrie "
"18","Garnas, Jeff R.; Bascom, Carlisle; Liebhold, Andrew; Morin, Randy; Fei, Songlin; Fearer, Carrie"
"19","Garnas, Jeff R.; McIntire, Cameron"
"20","Aflague, Breanne; Gould, Juli; Phillip Lewis; Garnas Jeff"
"21","Lemis, Patrick; McIntire, Cameron; Garnas, Jeff"
"22","Rivera-Reyes, Santiago; Morrison, Eric W., Garnas, Jeff"
"23","Reilly, Erin"
"24","Kanaskie, Caroline; Garnas, Jeff"
"25","Clifton, Elizabeth"
"26","Clifton, Elizabeth; Gould, Juli; Garnas, Jeff"
"27","Kanaskie, Caroline; Routhier, Michael; Fraser, Benjamin; Ayres, Matthew; Garnas, Jeff"
"28","Garnas, Jeff R.; McIntire, Cameron"
"29","Garnas, Jeff R."
"30","Clifton, Elizabeth; Gould, Juli; and Garnas, Jeff"
"31","Garnas, Jeff R."
"32","Garnas, Jeff R."
"33","Clifton, Elizabeth; Gould, Juli; and Garnas, Jeff"
"34","Kanaskie, Caroline; Routhier, Michael; Ayres, Matt; Garnas, Jeff"
"35","Garnas, Jeff R."
"36","""Eric W. Morrison a, Tuan A. Duong b, Jeff R. Garnas"
"37",""""
"38","Garnas, Jeff R.; Gould, Juli; Lewis, Phil"
"39","""Kanaskie, Caroline "
"40","Routhier, Michael "
"41","Ayres, Matt "
"42","Garnas, Jeff R."""
"43","Fearer, Carrie"
"44","Aflague, Breanne; Gould, Juli; Phillip Lewis; Garnas Jeff"
"45","Rivera-Reyes, Santiago; Morrison, Eric; Garnas, Jeff"
"46","Reilly, Erin; Garnas, Jeff R."
"47","Garnas, Jeff R."
