,old
1,"Clifton, E; Garnas, JR; Booth, T; & Gould, JR"
2,"Kanaskie, C; Hofstetter, R; Klepzig, K; Stephen, F; Garnas, JR"
3,"Kanaskie, C; Rutledge, C; Bray, A; Ayres, Matt; Garnas, JR"
4,"Morrison, EW; Duong, T; van der Meer, B; Tanguay, P; Garnas, JR"
5,"Bascom, C; Liebhold, A; Morin, R; Fei, S; Fearer, C; Garnas, JR; "
6,"Clifton, E; Garnas, JR; Booth, T; & Gould, JR"
7,"Clifton, E; Garnas, JR; Booth, T; & Gould, JR"
8,"Clifton, E; Garnas, JR; Booth, T; & Gould, JR"
9,"Kanaskie, C; Rutledge, C; Bray, A; Ayres, MP; Garnas, JR"
10,"Garnas, JR"
11,"Garnas, JR"
12,"Garnas, JR; Coupe, C; Rietzel, M"
13,"Kanaskie, C; Ducey, M; Garnas, JR"
14,"Garnas, JR; Coupe, C"
15,"Carlisle Bascom Jr, Carrie Fearer, Jeff Garnas"
16,"Garnas, JR"
17,"Garnas, JR; Bascom, C; Liebhold, A; Fei, S; Fearer, C "
18,"Garnas, JR; Bascom, C; Liebhold, A; Morin, R; Fei, S; Fearer, C"
19,"Garnas, JR; McIntire, C"
20,"Aflague, B; Gould, JR; Phillip Lewis; Garnas, JR"
21,"Lemis, P; McIntire, C; Garnas, JR"
22,"Rivera-Reyes, S; Morrison, EW W., Garnas, JR"
23,"Reilly, E; Garnas, JR"
24,"Kanaskie, C; Garnas, JR"
25,"Clifton, E"
26,"Clifton, E; Gould, JR; Garnas, JR"
27,"Kanaskie, C; Routhier, M; Fraser, B; Ayres, MP; Garnas, JR"
28,"Garnas, JR; McIntire, C"
29,"Garnas, JR"
30,"Clifton, E; Gould, JR; and Garnas, JR"
31,"Garnas, JR"
32,"Garnas, JR"
33,"Clifton, E; Gould, JR; and Garnas, JR"
34,"Kanaskie, C; Routhier, M; Ayres, Matt; Garnas, JR"
35,"Garnas, JR"
36,"Eric W. Morrison a, Tuan A. Duong b, Jeff R. Garnas"
37,"Garnas, JR; Gould, JR; Lewis, Phil"
38,"Kanaskie, C Routhier, M Ayres, Matt; Garnas, JR"
39,"Fearer, C"
40,"Aflague, B; Gould, JR; Phillip Lewis; Garnas, JR"
41,"Rivera-Reyes, S; Morrison, EW; Garnas, JR"
42,"Reilly, E; Garnas, JR"
43,"Garnas, JR"
